cleaned_content,sentiment
tingkat inovasi promo yg tarik guna setia gojek terima kasih ya,2
bantu,2
numeroo unoo,2
bantu,2
mantap,2
senang bantu,2
susah masuk,2
tolol udh tau gaada driver mekanisme batalin pesan ribet ga padhal udah nunggu jam,0
ok,2
oke god,2
jalan cepat aman nyaman,2
bantu,2
customer nya mitra yg lapang,2
mantap,2
go food,0
driver nya terima order gerak tunggu lumayan driver makan kak makan pulak menit salah suruh tunggu layan driver buruk cocok nya driver seleksi langgan makan jadi mending gojek tutup,0
gak sdkit mahal sihh,2
tolong fitur gosend sdh no tlp kirim pesan drivernya tlp yg order gosend sdh lokasi pick up barang pesan hubung no tlp yg sdh lengkap yg pesan gosend suka suka yg order gosend yg barang orang kirim barang please bgt perhati,2
request pisah driver go ride khusus perempuan,2
good,1
gopaylater blokir bayar loh,2
sat set membntu bangat,2
ongkir gofood nya parah mahal bngt blm biaya nya pesan gofood nominal rb ongkir biaya nya nyame rb,0
mantap,2
bantu,2
senang mudah,2
aplikasi yg mudah gampang paham,2
oke mantap,2
suka,2
mebantu cuman jarang promo,2
buruk pake layan express tetep lambat bhkan sampe jam layan extra express noh,0
on time cepat,2
keren banget bantu,2
driver sedikitsaat hujan lamaasaya nunggu jam ndak dapet driver gofood,0
mantap,2
coba pesan makan gojek pas hujanbisa jam,0
mayan kece,2
good,2
hak driver manusiawi,0
gampang banget kalo laper worth it sih murah murah,2
ok,2
mantap,2
mant pokonamah,2
top aplikasi transportasi,2
bagus,2
jam malam susah order goride,0
kasih promo pesan makan susah cari uang orang drivers bikin dusah cari older kasih ambil argo tidk sesuai ikikosenepnyapie,0
semenjak pakai aplikasi mudah mesan makananantar jemput simpan digital,2
moga sukses,2
muas,2
mentang mentang pakai kirim regular nunggu driver aja jam kadang kadang gagal pesan gak driver sy pakai aplikasi gojek bayar sembarang bikin custumer kecewa nunggu driver,0
susah banget dapet driverhadehh payah ga pake gojek bye,0
,2
telat pdahal make trus upgrade plus,0
pls bgt dpt driver jelek,0
mantulllll,2
cepat responnya ramah layan,2
ok,2
kali order makan cancel ndak,0
mudah dlm mes makan,2
drivernya,2
up date trus ribet,2
susah banget dapet drivernya driver gocar jelek banget,0
bantu,2
tdk kecewa,2
mantap gojek baik,2
oke,2
mantab,2
tingkat layan,2
saldo istri akun gopay ga tarik transfer nomor hangus,0
bantu bgttrimakasih,2
harga goride skrang mahal duluan ribu skrang ribu jarak yg,0
good,2
bagus,2
gocar gak pilih driver jauh km,1
dapet driver nya pda waee heran gw mh da,1
mantap,2
gosend gak server padat,0
praktis bagus manfaat masyarakat,2
ga chatan restoran duluan susah nya kalo note lupalangsung ga batalin pesan udah konfirmasi resto kasih min menit jelek bngt,0
senang gojek,2
good driver,2
josssss,2
verifikasi wajah gagal aplikasi jelek tutorial udah ikutin gabisa aplikasi jelek,0
smoga kecewa sperti app sbelah,2
top,2
keren bantu,2
ok,2
bantu transportasi,2
aplikasi bodoh yg gw pake bayar member parking sllu mslh sorry gw hapus kalo jgn nonggol iklan hp gw,0
kali kecewa banget gojek menit nggak driver nganterin driver deteksi rumah pilih comfort biaya mahal aktif cari prioritas nggak ngaruh lambat kerja udah ngeluarin biaya gojek kalo bis lambat aja mahal lambat benerbener kecewa,0
mantap aplikasi yg bantu,2
mantap,2
tangan banget,0
mantap baik,2
dapet driver nya udh jam nungguin kga dapet driver,0
aplikasi bagus bantu driver gojek skrng ga sopan ga bagus etitut nya kaya ga butuh uang orang yg ga tega kasih bintang lampiasin aja kesel tolong gojek fitur blokir ga ketemu sm driver kesel hati,0
mantef,2
manfaat,2
bagus,2
gajelas gocar suka tibatiba dibatalin ga bales chat dah nungguin kalo tdkmau ya batalin aja gahrus nunggu,0
pokokke oke,2
jam nunggu makan gara batalin driver sampe jam ga dapet ganti sistem sampah,0
praktis senang,2
diskon gampang makenya,2
aplikasi bgt eror pas sen eror ga dpt driver paksa hrs aplikasi pas masuk lg tarif udh ubah x lipat dr maps driver ga yg masuk pas tarif x lipat driver yg ambil,1
tunggu driver ramah,2
abis diupdate ga buka,0
goooddd,2
bagus,2
the besttttt,2
puas pakai gojek mana mudah kirim apa mudah,2
keren,2
tebaik,2
mantap,2
senang,2
mudah,2
keren,2
bagusssss,2
bagus,2
pake gojek nyaman aman,2
pesan gocar comfort harga mahal mobil mobil unsur comfortnya fitur comfort bagus mobil tolong gojek bijak pilih mobil cocok fitur comfort,0
puas,2
smoga appgojek sy downloud lg ni,2
bagus bantu sayang desa tuju kota sen gocar susah tp dr kota desa mudah,2
mantap,2
good job,2
mntap gojek th,2
kecewa booking order gocar driver nya ngecancel butuh jarah gak sebarapa,0
bantu profesionalisme driver tahan,2
saik poko na mah,2
aplikasi aplikator moga zoliman mu balas timpal,0
pesan food cancel jam sampe pake reguler ga make aplikasi,0
kasih discount yg banyakk,2
ramah,2
mantap,2
bantu dg gojek goride gocar mantap gocar diskitar kec tirto pkl susah ngordernya tp smoga kdepan smkin mudah,2
bintang bicara,2
lengkap,2
ok,2
app yg tani jalan,2
goto akun gofod jarak hasil untung yg miris bhr alas kriteria,0
gak nunggu,2
aplikator korup,0
maju sukses trus gojek indonesia,2
mantap,2
bru donlot,1
bagus,2
kondisi hujan sulit driver,2
susah driver goofood sahur bandar lampung rajabasa,0
mudah hari,2
mantabp keren,2
kerennnn,2
aplikasi bodoh gajelas ramadhan org sahur tpi susah dpt driver anehh banget tololl,0
best,2
sayang aplikasi nya skrg gopay pinjam aneh gak pakai usaha bayar cicil gopay pinjam gak telat cepat byr nya uninstall aja,0
suka karna cepat antar nya,2
mantap,2
depan yg terbaikthanks,2
aplikasi jelek pas order gojek ngelag jaring bagus,0
oke,2
apk nya sih ok cmn kendala apk nya kadang ngebug moga depan baik,2
okeeekereen,2
mesen makan suka,2
top up ga bisaaaaaa,0
kasih tau partner gofood emang gak bilang trus drivernya gak ambil pesan kasih tau bikin orang nunggu jam alhasil pesan batalin manusia gak adab,0
mantab,2
good,2
ayo gojek merger grab biar saing pasar,0
top,2
cepat,2
bagus,2
oke,2
keren,2
ya bantu aja,2
driver yng dket bnyak nyantol sma yng kasi driver iyah nunggu iyah blom lg order piktip kasi attuh sma driver min,1
ok,2
ok,2
yes yes bagus layan suka,2
alhamdulillah bantu transportasi,2
,2
bagus goojek promo nya,2
voucher diskon,2
promo hemat bikin kesel toko proses driver datang estimasi tunggu jam layan cepat buruk tinggalkangojek,0
mantap buat anak bangsa bikin bangga,2
tolong baik tombol pesan gampang pencet orang trus gabisa dicancel coba liat gasengaja pencet ehh gabisa dicancel,0
oke,2
aplikasi hebat,2
good,2
suka dapet promonya tuh,2
